id,title,paper_abstract,published_in,year,url,readers,authors,x,y,groups,area_uri,area
9339,"Getting the Information You Need, When You Need It: A Context-aware Q&A System for Collaborative Learning","Keeping up with the rapid development in their fields is a problem for many employees nowadays, particularly when the new information is meant to be used for problem solving. Collaborative approaches such as forums and question and answering (Q&A) systems managed to only partly mitigate this problem in cases where time constraints and user mobility are of no crucial concern. We present an enhancement to conventional Q&A applications which relies on user activity detection and question forwarding towards the available users. Our approach obtains a 90% precision in a garage experiment, proving itself as a viable solution for car technicians' time and mobility constraints.",EC-TEL,Short Paper,NA,0,Irina Diaconita;Christoph Rensing;Stephan Tittel;,-0.66695459,1.271235928,10,developing-country,Developing country
9340,Using JSON-LD and Hydra for Cloud-based Tool In-teroperability: A Prototype Based on a Vocabulary and Communication Process Handler for Mind Map Tools,"Learning tools interoperability is a well-identified challenge tackled by different approaches such as the IMS Global LTIv2 definition. This paper presents a study to achieve interoperability in a cloud-based educational environment for external tools loosely coupled to form a virtual learning environment. This research builds on the W3C community group project Hydra to achieve interoperability for Web-service-based learning tools. A proof of concept is presented for one selected mind map tool supporting learning activities. The approach uses Web API descriptions based on a generic vocabulary built on Hydra and JSON-LD.  A proposed communication process handler is pre-sented in order to enable the interoperability. Initial results demonstrate that interoperability is highly efficient by means of a higher level of abstraction, while it simplifies the definition and coupling process of cloud-based tools.",EC-TEL,Short Paper,NA,0,Rocael Hernandez;Christian Gutl;Hector R. Amado-Salvatierra;,0.271127847,-0.80043459,6,recommender-system,Recommender system
9341,Responsive Web and Adaptive Web for Open and Ubiquitous Learning,"Online educational processes make use of different tools and platforms through which learning resources can be shared. Nowadays mobile platforms are gaining momentum and learners can experience mobile ubiquitous learning. This heterogeneity of resources and devices makes the design of e-learning content a relevant issue. In this direction, approaches to design websites and applications that are responsive and adaptive to different kinds of devices in different contexts is growing in importance. In this paper we analyze this issue and discuss both the responsive and the adaptive approaches to e-learning content design in the domain of language learning. Through an experimental evaluation, we will try to demonstrate that, given the nature of language learning, responsive web design approach alone seems not sufficient to provide an effective adaptation of content, especially of learning activities, to fit the device features, while adaptive techniques have better chances to.",EC-TEL,Short Paper,NA,0,Marco Mercurio;Ilaria Torre;Simone Torsani;,-3.000813916,-0.809674237,1,inquiry-based-learning,Inquiry-based learning
9342,Reliability of web-based information in inquiry projects,"This case study aims at identifying how a community of secondary school students selects web-based information and factors associated with the reliability of online reference sources during their collaborative inquiry (co-inquiry) projects. This study, conducted in a public secondary school in Brazil, focused on information literacy skills for collaborative open learning (colearning). The research is based on qualitative content analysis implemented on the online platform weSPOT. Although students are mindful of the importance of comparing different sources of information they seem not to be aware of reliability in online environments. Teacher?s guidance is essential to support colearners in developing competences, particularly related to critical thinking.",EC-TEL,Short Paper,NA,0,Andre Luis Correa;Cintia Regina Lacerda Rabello;Alexandra Okada;,0.318492832,-1.363517089,6,recommender-system,Recommender system
9343,Analysis of Concept Sequencing in Student Drafts,"The proposal draft is the first step to achieve a university degree by students in many educational institutions. This proposal is transformed into a thesis after several revisions by an academic adviser. Each proposal must comply with requirements of institutional guidelines. In this paper we present an analyzer to identify the sequence of concepts within the proposal drafts in Computer Science and Information Technologies, with the goal of aiding students to improve their drafting. We propose four methods integrated into our analyzer, which were designed considering the transitions of grammar constituents (subject and object) in the sections of Problem Statement, Justification and Conclusions. We developed the methods from corpora analysis, validating them further. Moreover, we found that the sequences of concepts correspond to what is expected in the different sections.  ",EC-TEL,Short Paper,NA,0,Samuel Gonzalez Lopez;Aurelio Lopez-Lopez;,-3.189290495,1.327021157,8,design-thinking,Design thinking
9344,Labeling Mathematical Errors to Reveal Cognitive States,"While technology can enhance learning, ironically, many online systems occlude learners' cognitive states because instructors do not directly observe students solving problems. In this paper, we show how we utilized an online mathematics homework system where students simply provided final answers to exercises. We then asked, ``What can we infer about the cognitive state of the student if they gave an incorrect response?'' Through data mining techniques, we found we were able to ascribe a particular type of mechanical error or misconception to 60-75\% of the incorrect responses learners made on the subset of problems we analyzed. As such, we illustrate methods for extracting this data to discover knowledge components embedded in an exercise, expose item bias, and reveal learners' cognitive states.",EC-TEL,Short Paper,NA,0,Thomas S. McTavish;Johann Ari Larusson;,-2.400418029,0.751373012,2,mobile-device,Mobile device
9345,Making Sense of Bits and Pieces: A Sensemaking Tool for Informal Workplace Learning,"Sensemaking at the workplace and in educational contexts has been extensively studied for decades. Interestingly, making sense out of the own wealth of learning experiences at the workplace has been widely ignored. To tackle this issue, we have implemented a novel sensemaking interface for healthcare professionals to support learning at the workplace. The proposed prototype supports remembering of informal experiences from episodic memory followed by sensemaking in semantic memory. Results from an initial study conducted as part of an iterative co-design process reveal the prototype is being perceived as useful and supportive for informal sensemaking by study participants from the healthcare domain. Furthermore, we find first evidence that re-evaluation of collected information is a potentially necessary process that needs further exploration to fully understand and support sensemaking of informal learning experiences.",EC-TEL,Short Paper,NA,0,Sebastian Dennerlein;Matthias Rella;Vladimir Tomberg;Dieter Theiler;Tamsin Treasure-Jones;Micky Kerr;Tobias Ley;Mohammad AL-Smadi;Christoph Trattner;,1.803066207,-1.33663948,4,software-engineering,Software engineering
9346,Automatic Generation of SKOS Taxonomies for Generating Topic-based User Interfaces in MOOCs,"The aim of the paper is to provide a framework for the automatic generation of topic-based user interfaces for video lectures in MOOCs. The proposed approach leverages on Fuzzy Formal Concept Analysis and Semantic Technologies, which allow the definition of solutions for supporting learners to navigate the fragments of one or more video lectures, by selecting the topics of interest. The exploitation of a Semantic Web vocabulary, namely SKOS, to model topics, and their relationships, enables the interconnection of different video lectures, also belonging to different MOOCs. The high interoperability allowed by Semantic Web technologies enables the integration of different and heterogeneous MOOC Platforms, as well as other Open Repositories. This aspect fosters the capability of learners to self-regulate and to enhance their learning paths in new forms of learning experiences based on exploration.",EC-TEL,Short Paper,NA,0,Carmen De Maio;Vincenzo Loia;Giuseppina Rita Mangione;Francesco Orciuoli;,2.330602134,-1.075088778,4,software-engineering,Software engineering
9347,Moodle4SPOC: A Resource-Intensive Blended Learning Course,"The paper reports on the transformation of a master level university course (lecture style) by supplementing it with a ""small private online course"" (SPOC). The online course included micro learning elements and activities that are often used in the context of MOOCs like lecture videos or auto-grading tests, but also provided a platform for publishing content that was generated by the students in group work. Technically, the online course was conducted in a Moodle LMS that was extended by a self-developed video-plugin. The experience was evaluated using two questionnaires and the results were discussed with the students to gain further insights. The evaluation results are critically discussed to identify success factors and pitfalls for resource-intensive blended learning scenarios.",EC-TEL,Full Paper,NA,0,Sabrina Ziebarth;H. Ulrich Hoppe;,-3.181585106,-0.652490443,1,inquiry-based-learning,Inquiry-based learning
9353,Integrating OData Services into the Semantic Web: A SPARQL interface for OData,"OData is a data access protocol that allows the definition of REST-based data services. Due to the usage of standard technologies (AtomPub, HTTP and JSON), OData has gained widespread attention within the industry lately. Companies such as Microsoft and eBay provide OData interfaces for their applications and services. SAP provides OData support not only for its ERP-system but for the whole Business Suite. In order to simplify the retrieval of data from ERP-systems and to make them available for the integration with the Semantic Web, we present an approach to realize SPARQL endpoints on top of OData interfaces. The work presented in this paper mainly consists of two parts. In the first part, we define an extension of the Conceptual Schema Definition Language (CSDL) to semantically annotate OData services. In the second part, we adapt the evaluation semantics of SPARQL algebra expressions with regard to graph templates which are defined by the semantically annotated CSDL documents. Based on the adapted evaluation, we can determine the relevant OData services that need to be queried to answer a given SPARQL query. A prototypical implementation shows the feasibility of our approach.",i-KNOW,Knowledge & Data Analytics,NA,0,Marc Kirchhoff;Kurt Geihs;,2.449527215,0.724004148,9,enterprise-search,Enterprise search
9354,Building an Empirical Software Engineering Research Knowledge Base from Heterogeneous Data Sources,"Recently, the Systematic Knowledge Engineering (SKE) process has been introduced to help researchers build up an empirical software engineering (EMSE) Body of Knowledge (BoK) based on a systematic literature review process. However, the SKE process does not explain how to effectively capture and represent the EMSE knowledge to enable efficient data analysis. In this paper, we introduce the EMSE Research Knowledge Base Building (RKB) process, which guides knowledge engineers in developing and using a knowledge base (KB) for the SKE process based on contributions from heterogeneous data sources. We evaluate the RKB process in the context of three research topics from the EM-SE domain: software inspection experiments, theory construct identification, and threats to validity. Major results are that the RKB process is effective in guiding the knowledge engineer to build a KB that allows answering the EMSE-specific queries. The RKB process shows promising results in the EMSE research context and should be investigated in other research contexts as well.",i-KNOW,Science 2.0,NA,0,Fajar J. Ekaputra;Estefania Serral;Stefan Biffl;,2.575499661,-0.764807097,4,software-engineering,Software engineering
9355,Generic Sentence Classification: Examining the Scenario of Scientific Abstracts and Scrum Protocols,"The amount of available textual information in everybody?s daily environment is increasing steadily. To satisfy a user?s information needs, the user has to examine numerous documents until the required information has been found. Additionally, the relevant information is often contained in only short sections of the considered documents. This leads to a high amount of irrelevant text the user has to read what could be solved by filtering relevant information within textual documents automatically. In this article we present our findings on the classification of sentences according to the type of information contained. Our evaluation has been conducted on documents from the field of abstracts of scientific publications and protocols of Scrum retrospective meetings. The results show the feasibility of our approach for finding a higher percentage of relevant information within textual documents and hence reducing the information overload for the users.",i-KNOW,Knowledge & Data Analytics,NA,0,Sebastian Schmidt;Steffen Schnitzer;Christoph Rensing;,3.492989054,0.204692887,7,big-data,Big data
9356,Visual Access to Agent-based Simulation Models to Support Political Decision Making,"Decision making in the field of policy making is a complex task. On the one hand conflicting objectives influence the availability of alternative solutions for a given problem. On the other hand economic, social, and environmental impacts of the chosen solution have to be considered. In the political context, these solutions are called policy options. To tackle societal problems a thorough analysis of policy options needs to be executed before a policy can be put into practice. Computational simulation is a method considered for measuring the impacts of policy options. However, due to their complexity, the underlying models and their output may be difficult to access by decision makers. In this work, we present a visual-interactive interface for an agent-based simulation model that enables decision makers to evaluate the impacts of alternative policy options in the field of regional energy planning. The decision maker can specify different subsidy strategies for supporting public photovoltaic installations as input and evaluate their impact on the actual adoption via the simulation output. We show the usability and usefulness of the visual interface in a real-world example evolved from the European research project ePolicy.",i-KNOW,Knowledge Visualization,NA,0,Tobias Ruppert;Jurgen Bernard;Alex Ulmer;Hendrik Lucke-Tieke;Jorn Kohlhammer;,2.795457944,-0.805026185,4,software-engineering,Software engineering
9357,Measuring success of Hypervideos,"With platforms like YouTube at hand, people from all over the world consume (unprofessionally produced) video tutorials to fix their individual problems. There can also be witnessed a certain willfulness to not only consume but contribute by creating and sharing own videos. In addition to the general availability of such public platforms and their content, companies realize the promising chances to (co-)manage comparable systems themselves to serve their specific purposes in day-to-day business communication, collaboration and information sharing. Therefore, high potential to contribute to the company`s well-fare can be assumed for diverse application scenarios and various industries, even gaining momentum by including modern forms of interactivity. Possible application scenarios reach from collaboratively solving a field service engineer?s problem at hand through on-site video authoring to video-based instructions as innovative application in the field of e-health. Yet without evidence, the management is likely to discard the chances provided by so-called hypervideos in a practical context. So, in this conceptual work we show how hypervideo systems can be checked context-specifically for economic viability.",i-KNOW,Knowledge & Data Analytics,NA,0,Franz Lehner;Michael Langbauer;Nadine Amende;,3.561284087,-0.339341901,7,big-data,Big data
9358,"Studying the History of Philosophical Ideas: Support Tools for Research Discovery, Navigation, and Awareness","The use of computational tools in the humanities for science 2.0 practices is steadily increasing. This paper examines current research practices of a group of philosophers studying the history of philosophical concepts. We explain the methodology and workflow of these philosophers and provide an overview of tools they currently use in their research. The case study highlights a number of fundamental challenges facing these researchers, including: (i) accessing known relevant research content or resources; (ii) discovering new research content or data; (iii) working collaboratively rather than individually. We propose a mash-up of search, visualization, and awareness tools addressing these challenges and discuss the design of the mash-up, its implementation, and evaluation with the target users. Through our case study, we demonstrate the benefits of a user-centered design approach, as well as the benefits of the concrete mash-up for historians of philosophy, and, importantly, the limitations of these tools for conducting historical and philosophical research.",i-KNOW,Science 2.0,NA,0,Hein Van den Berg;Gonzalo Parra;Anja Jentzsch;Andreas Drakos;Erik Duval;,1.825875966,0.110304672,9,enterprise-search,Enterprise search
9359,"Knowledge Sharing Tools, Practices and Barriers in Transnational Clusters","Social media and Web 2.0 technologies seem to be especially promising because of their open character and low barrier of adoption. The use of these technologies for knowledge sharing in organizational settings has been thoroughly examined and some positive effects have been found, but much less is known about how the social media tools could be effectively used in cross-organizational settings or in international cooperation. The aim of the study was to investigate what kind of knowledge sharing practices can be identified in international clusters; which tools are used for supporting the knowledge sharing in international networks and what kind of barriers the members perceive in their knowledge sharing processes within the network. The results indicated that communities are actively thinking about employing social technologies for knowledge sharing, but several barriers exists that hinder adoption. The study indicated that any tool could build the community sense and replace the face-to-face meetings in real life, but the technologies should be intertwined with real life communication and every community needs a facilitator who takes responsibilities for community building.",i-KNOW,Social Computing,NA,0,Aali Lilleorg;Kairit Tammets;Tobias Ley;Tiiu Evert;,0.477444051,-0.475787335,6,recommender-system,Recommender system
9360,Can Simplicity help?,"Analysts are today given (or develop) a wide range of powerful visual reasoning tools, of leading-edge platforms where services like high interactivity, high computing capacity, structured knowledge, processing of complex reasoning tasks on massive data, are duly implemented. Classic 18th or 19th century DataViz solutions may then appear as respectable, but deprecated ? far too simple to match today?s challenges. In this paper we try to show that the very simplicity of these solutions can still be of help in problem-solving situations. We first revisit some great classics in order to uncover patterns and exceptions inside a data set consisting of incomplete historical evidence on groups of stalls that used to be located on the market square in Cracow. We show that, once reinterpreted and re-implemented, classic visualisations like tableaux poléométriques of Charles De Fourcroy or Munehisa Homma?s candlestick chart can be successfully reused to read other types of data than these for which they were designed. We then introduce an online, free to use implementation of these classics that we expect to weigh through a sort-of crowdsourcing approach to which extent they can act as relevant and generic visual formalisms. Finally, we underline the potential contribution of this research in terms of methodology, and discuss in what simplicity proves here helpful.",i-KNOW,Knowledge Visualization,NA,0,Jean-Yves Blaise;Iwona Dudek;,2.383031804,0.978087428,9,enterprise-search,Enterprise search
9361,Picturing what others know: towards a dashboard for interdisciplinarity,"In many complex, multi-faceted, problem-solving situations there is a growing need to pull together various competences and backgrounds, i.e. a need to better balance specialisation and interdisciplinarity. But when scientific backgrounds, skills, references, specialized languages and specialized knowledge are too far apart people involved in an interdisciplinary process face a real communication challenge. Communication is here not the best word ? it minors the challenge. What actors face is the challenge to reach a common understanding of facts and of pictures of facts, in other words to build a common, unambiguous, knowledge space. Not making this effort often results in misunderstandings, and accordingly in delays and inefficiency. At the end of the day, results may turn out as a nice patchwork rather than as new knowledge. In this contribution we show that it can be worth having actors get aware of distances between them, of overlaps and non-overlaps in terms of methods, specialised language, references and concepts. We present a series of short experiments that are an attempt to ?measure? and then visualize the above mentioned distances, and can act as eye openers for a community.",i-KNOW,Knowledge Visualization,NA,0,Jean-Yves Blaise;Iwona Dudek;,-2.034814405,0.609157212,10,developing-country,Developing country
9362,Measuring Context Relevance for Adaptive Semantics Visualizations,"Semantics visualizations enable the acquisition of information to amplify the acquisition of knowledge. The dramatic increase of semantics in form of Linked Data and Linked Open Data yield search databases that allow to visualize the entire context of search results. The visualization of this semantic context enables one to gather more information at once, but the complex structures may as well confuse and frustrate users. To overcome the problems, adaptive visualizations already provide some useful methods to adapt the visualization on users? demands and skills. Although these methods are very promising, these systems do not investigate the relevance of semantic neighboring entities that commonly build most information value. We introduce two new measurements for the relevance of neighboring entities: The Inverse Instance Frequency allows weighting the relevance of semantic concepts based on the number of their instances. The Direct Relation Frequency inverse Relations Frequency measures the relevance of neighboring instances by the type of semantic relations. Both measurements provide a weighting of neighboring entities of a selected semantic instance, and enable an adaptation of retinal variables for the visualized graph. The algorithms can easily be integrated into adaptive visualizations and enhance them with the relevance measurement of neighboring semantic entities. We give a detailed description of the algorithms to enable a replication for the adaptive and semantics visualization community. With our method, one can now easily derive the relevance of neighboring semantic entities of selected instances, and thus gain more information at once, without confusing and frustrating users.",i-KNOW,Knowledge Visualization,NA,0,Kawa Nazemi;Arjan Kuijper;Marco Hutter;Jorn Kohlhammer;Dieter W. Fellner;,3.320507559,-0.572167009,7,big-data,Big data
9363,Determining Qualified Production Processes for New Product Ramp-up using Semantic Web Technologies,"The manufacturing industry aims at reducing the time-to-volume for new products with new production sites. A ramp-up team needs to find a capable production process for a new production site to produce the product in sufficient quality and volume efficiently and with reasonable investment costs. Capable production processes have to be qualified first regarding the specification criteria of the created product. However, currently the ramp-up team does not have a well-structured process to follow or a measurement system for guidance. In this paper we propose the ?knowledge-based production ramp-up process? (K-RAMP) for the ramp-up of a new product with specified requirements in a target production system. Based on these knowledge assets, we introduce the ?ramp-up recommender system? that systematically helps determine reusable processes in the target production system. We use semantic web technology to define, design, and evaluate the ramp-up process knowledgebase and recommender system with a real-world use case. In the evaluation context the K-RAMP showed promising results and should be evaluated in a wider range of production processes to help master shortening product life-cycles.",i-KNOW,Social & Ubiquitous Computing,NA,0,Roland Willmann;Estefania Serral;Stefan Biffl;,2.788099242,-0.195781212,4,software-engineering,Software engineering
9364,Analysing Supplier Locations Using Social and Semantic Data: A Case Study Based on Indonesian Factories,"Many international corporations have globally distributed supply chains exposing their operations to various local risks, e.g., natural disasters. To facilitate assessment of these risks, corporations have to identify geographic locations of their suppliers. However, automated identification of supplier locations is problematic for areas where geocoding of addresses is not effective. In this paper, we present a method to infer location information from user-generated geographic information retrieved from Wikimapia and Foursquare. Using a sample of 139 Indonesian factories supplying large international corporations, we compared results from our approach with locations retrieved from four widely-used geocoding services. We found that best results could be achieved using data from Foursquare, where we retrieved a location within 1km for 73% of the factories. Given that coordinates are only an input for decision making, we linked retrieved locations exemplary to semantic data to determine the risk exposure due to volcanic eruptions for each factory. Both steps combined present an approach for automated supplier risk assessment based on social and semantic data.",i-KNOW,Social & Ubiquitous Computing,NA,0,Lisa Madlberger;Heidelinde Hobel;Andreas Thoni;A Min Tjoa;,1.968533214,2.749586452,11,sentiment-analysis,Sentiment analysis
9365,Interoperability for Cloud-based Applications for Education Settings based on JSON-LD and Hydra: Ontology and a Generic Vocabulary for Mindmap Tools,"Innovation in technology-enhanced learning (TEL) is constantly evolving, and this includes virtual learning environments (VLE). A cloud education environment (CEE) is a VLE that uses external cloud-based (Web 2.0) tools for learning activities; those tools are loosely coupled to the VLE. To achieve a real CEE, interoperability between systems is needed to enable interaction with external tools, thus providing an enhanced learning experience. This paper will explore a semantic interoperability solution for cloud-based tools in an educational setting. It will focus on the use case of mind maps for learning activities and present a proposed generic ontology for interoperability of mind map tools. Based on the ontology, its application with the recently presented W3C approaches to JSON-LD and Hydra is introduced. It will describe a Web API for integration and interoperability. The focus of this paper is a description of the common characteristics of mind map tools, such as their resources, operations, and properties, which will create a definition of the generic vocabulary when using Hydra. Initial findings have shown that this approach will provide simple abstraction means to achieve interoperability and provides straightforward support for continuous adaptation of new features provided by cloud-based tools.",i-KNOW,Social & Ubiquitous Computing,NA,0,Rocael Hernandez Rizzardini;Christian Gutl;Hector R. Amado-Salvatierra;,0.969901751,-0.904468612,6,recommender-system,Recommender system
9366,Baseline Evaluation: An Empirical Study of the Performance of Machine Learning Algorithms in Short Snippet Sentiment Analysis,"At present, the sentiment analysis task is a relatively recent research field which has led to many inconsistent findings in literature. The debate is two-fold: what is the best performing baseline classifier and what is the most useful feature weighting method e.g., term presence (TP), term frequency (TF), TF-IDF etc., which can be used to improve a classifier?s performance. Na ? ?ve Bayes, with its variations and Support Vector Machine are a commonly used baseline in the sentiment analysis task. However, their reported performance varies among researchers and has led to a divergence as to which is the best baseline classifier that can be used in the sentiment analysis task. In order to shed some light on this controversy, we have conducted a series of widely comparative experiments (including twelve various domains) to evaluate the performance of various machine learning classifiers (Na ? ?ve Bayes with its variations, Support Vector Machine and J48 - an implementation of decision tree-based learning -) in the sentiment analysis task. The experimental results indicate that the Binarized Multinomial Na ? ?ve Bayes (BMNB) classifier exhibits the best performance in a short snippet sentiment analysis task. Furthermore, the classification performance, using feature selection methods, namely the information gain method (IG), has been significantly improved.",i-KNOW,Knowledge & Data Analytics,NA,0,Farag Saad;,0.614833734,2.085191058,11,sentiment-analysis,Sentiment analysis
9367,Designing for knowledge maturing: from knowledge-driven software to supporting the facilitation of knowledge development,"Software engineering has been transformed in recent years by understanding the interaction with customers and the target context as an ongoing learning process. Responsiveness to change and user-centered design have been the consequences. In a similar way, knowledge and ontology engineering are undergoing fundamental changes to acknowledge the fact that they are part of a collective knowledge maturing process. We explore three examples: (i) social media based competence management in career guidance, (ii) ontology-centered reflection in multiprofessional environments in palliative care, and (iii) aligning individual mindlines in pratice networks of General Practitioners. Based on these, we extract four levels of designing for knowledge maturing and associated technical implementations. This shows that future technology support should especially target facilitation of self-organized, but tool-mediated knowledge development processes, where, e.g., workplace learning analytics can play a prominent role.",i-KNOW,Social Computing,NA,0,Andreas Schmidt;Christine Kunzmann;,1.793626559,-1.224507695,4,software-engineering,Software engineering
9368,Analysis of word co-occurrence in human literature for supporting semantic correspondence discovery,"Semantic similarity measurement aims to determine the likeness between two text expressions that use different lexicographies for representing the same real object or idea. In this work, we describe the way to exploit broad cultural trends for identifying semantic similarity. This is possible through the quantitative analysis of a vast digital book collection representing the digested history of humanity. Our research work has revealed that appropriately analyzing the co-occurrence of words in some periods of human literature can help us to determine the semantic similarity between these words by means of computers with a high degree of accuracy.",i-KNOW,Knowledge & Data Analytics,NA,0,Jorge Martinez-Gil;Mario Pichler;,3.111962734,-0.389986635,7,big-data,Big data
9369,TimeCleanser: A Visual Analytics Approach for Data Cleansing of Time-Oriented Data,"Poor data quality leads to unreliable results of any kind of data processing and has profound economic impact. Although there are tools to help users with the task of data cleansing, support for dealing with the specifics of time-oriented data is rather poor. However, the time dimension has very specific characteristics which introduce quality problems, that are different from other kinds of data. We present TimeCleanser, an interactive Visual Analytics system to support the task of data cleansing of time-oriented data. In order to help the user to deal with these special characteristics and quality problems, TimeCleanser combines semi-automatic quality checks, visualizations, and directly editable data tables. The evaluation of the TimeCleanser system within a focus group (two target users, one developer, and two Human Computer Interaction experts) shows that (a) our proposed method is suited to detect hidden quality problems of time-oriented data and (b) that it facilitates the complex task of data cleansing.",i-KNOW,Knowledge Visualization,NA,0,Theresia Gschwandtner;Wolfgang Aigner;Silvia Miksch;Simone Kriglstein;Margit Pohl;Nik Suchy;Johannes Gaertner;,3.622644776,-0.252787172,7,big-data,Big data
9370,Does one size really fit all? - Evaluating classifiers in Bag-of-Visual-Words classification,"Bag-of-Visual-Words (BoVW) features that quantize and count local gradient distributions in images similar to counting words in texts have proven to be powerful image representations. In combination with supervised machine learning approaches, models for various visual concepts can be learned. While kernel-based Support Vector Machines have emerged as a de facto standard an extensive comparison of different supervised machine learning approaches has not been performed so far. In this paper we compare and discuss the performance of eight different classification models to be applied in BoVW approaches for image classification: Na ? ?ve Bayes, Logistic Regression, k-nearest neighbors, Random Forests, AdaBoost and linear Support Vector Machines (SVM) as well as generalized Gaussian kernel SVMs. Our results show that despite kernel-based SVMs performing best on the official Caltech-101 dataset, ensemble methods fall only shortly behind. In addition we present an approach for intuitive heat map-like visualization of the obtained models that help to better understand the reasons of a specific classification result.",i-KNOW,Knowledge & Data Analytics,NA,0,Christian Hentschel;Harald Sack;,2.21041172,1.906844399,11,sentiment-analysis,Sentiment analysis
9371,Is Enterprise Search Useful At All? Lessons Learned From Studying User Behavior,"Enterprise search is a growing industry: A recent report from the EU states the total revenue of EU-headquartered search vendors between 100 and 200 million Euros. However, enterprise search seems to be widely ignored by the academic information systems (IS) community. Little is known about user-adoption aspects of enterprise search, as almost no academic case studies and very few user evaluations are reported, leaving the topic more or less in hand of practitioners. A preliminary literature review reveals enterprise search user-aspects and especially perceived overall helpfulness as under-investigated subjects. The following paper provides insights into a qualitative study involving ten engineers from automotive and rail industry. While observing them using a piloted enterprise search engine, the authors report qualitative findings on how engineers apply enterprise search on project-relevant documents. With this paper, the authors want to contribute to the user-centered investigation of enterprise search and intranet search behavior and highlight the importance of scientific user studies in enterprise search.",i-KNOW,Social & Ubiquitous Computing,NA,0,Alexander Stocker;Markus Zoier;Selver Softic;Heimo Bischofter;Roman Kern;,2.376037145,0.114747586,9,enterprise-search,Enterprise search
9372,Security Concepts for a Distributed Architecture for Activity Logging and Analysis,"We describe security concepts for a distributed architecture for activity logging and analysis. The described system collects user and usage data from multiple devices (PC and mobile). Such data is used to create open learner models for reflection on and improvement of time management. Additionally, such data is the basis for adaptation of notification mechanisms. We propose concepts for secure local storage of collected data, network communication and user authentication, and secure data storage and processing on the server side. We only touch partially on security concepts for client services and applications. The proposed concept is thus applicable for all systems with distributed activity logging and server-based analysis components.",i-KNOW,Social & Ubiquitous Computing,NA,0,Viktoria Pammer;Hermann Stern;Stefan Edler;Daniel Hein;Martin Pirker;Roderick Bloem;Alfred Wertner;,2.672561639,1.003896367,9,enterprise-search,Enterprise search
9373,"Social, open and personalised environments for communication and knowledge management between business and educational organisations","This pilot research describes an investigation on web-based work environments for business and educational organisations involved on collaborative projects for social innovations. The objective of this work is to identify key functionalities of ubiquitous environments for strategic communication, collaborative learning and knowledge management between enterprise and educational professionals. This qualitative study focuses on the Brazilian project ?Nestlé Nutrir Crianças Saudáveis? (Nestlé Nurturing Project - Healthy Children) whose objective is to prevent teenagers? malnutrition and obesity through the collaboration and voluntary work of educational association professionals and Nestlé?s employees. Semi-structured interviews and online questionnaires were applied to public relation professionals at Nestlé Company and project managers of educational organisations who participated in Nestlé Nutrir. Based on key findings represented to visual analytics, it was possible to identify that business and educational organization use a variety of different environments including for similar functionalities, such as the dissemination of their collaborative project, process and key achievements. This pilot study suggests, then, some recommendations on work environments applied to ubiquitous contexts through weSPOT ? working environment with social, open and personalised tools. Further studies will then focus weSPOT functionalities for effective partnerships between companies and educational institutions for effective communication-collaboration and collective inquiry projects for social innovation.",i-KNOW,Social Computing,NA,0,Renata Calonego;Roberto Coelho;Alexandra Okada;,-2.689441533,-0.357642715,2,mobile-device,Mobile device
9374,Predicting the Stability of User Interaction in Twitter,"In this paper, we analyze the stability of user interaction within Twitter focusing on link decay prediction: for a tweet created by one user mentioning another user we study the task of predicting the decay of the corresponding interaction link over time. For this task, we employ the history of timestamped mention interactions between both users as time series features. We also tackle the problem of efficiently balancing a large dataset with a skewed class distribution, which arises naturally in our context. The proposed impurity-based supervised sampling (ISS) approach balances the data in one pass by removing trivial training data of the overrepresented class. Our approach is evaluated using the well known Twitter dump of 2009 [25]. We show, that ISS outperforms downsampling with regard to the resulting predictor performance.",i-KNOW,Social Computing,NA,0,Bjorn Elmar Macek;Martin Atzmueller;Gerd Stumme;,2.729784507,0.651502257,9,enterprise-search,Enterprise search
9375,A Multimedia Help System for a Medical Scenario in a Rehabilitation Clinic,"In this paper we outline instructional, legal, and software requirements as well as a prototypical software implementation for a multimedia help system in a rehabilitation scenario. The help system will be used by patients in a rehabilitation clinic to support their pelvic floor exercises. After describing the use case we will outline the requirements for the scenario and show how our software was extended to meet the requirements. We present the key features of each component of the SIVA Suite: the authoring tool, the redesigned HTML5 player, and the server application. Thereby, important new features are described and illustrated. Design decisions are presented and explained.",i-KNOW,Social & Ubiquitous Computing,NA,0,Britta Meixner;Katrin Tonndorf;Stefan John;Christian Handschigl;Kai Hofmann;Michael Granitzer;Michael Langbauer;Harald Kosch;,2.101608591,0.712427032,9,enterprise-search,Enterprise search
